 t       A(O)      A(F)
 8.96  8.622684  4.638171
 8.97  8.622702  4.638171
 8.98  8.622714  4.638208
 8.99  8.622726  4.638208
 9.00  8.622743  4.638212
 9.01  8.622755  4.638212
 9.02  8.622767  4.638249
 9.03  8.622785  4.638249
 9.04  8.622798  4.638249
 9.05  8.622814  4.638254
 9.06  8.622826  4.638291
 9.07  8.622838  4.638291
 9.08  8.622851  4.638291
 9.09  8.622869  4.638291
 9.10  8.622881  4.638291
 9.11  8.622898  4.638332
 9.12  8.622910  4.638332
 9.13  8.622922  4.638332
 9.14  8.622934  4.638332
 9.15  8.622946  4.638369
 9.16  8.622969  4.638373
 9.17  8.622981  4.638373
 9.18  8.622993  4.638373
 9.19  8.623005  4.638410
 9.20  8.623018  4.638410
 9.21  8.623034  4.638415
 9.22  8.623052  4.638415
 9.23  8.623065  4.638415
 9.24  8.623077  4.638452
 9.25  8.623089  4.638452
 9.26  8.623105  4.638456
 9.27  8.623118  4.638456
 9.28  8.623136  4.638493
 9.29  8.623148  4.638493
